date,stix,malpedia,secnews,cve
2015-05-29,1704,1,10,23
2015-05-30,1774,0,0,17
2015-05-31,1152,0,0,5
2015-06-01,1837,2,16,25
2015-06-02,1702,0,6,19
2015-06-03,1125,2,10,9
2015-06-04,1114,1,2,7
2015-06-05,714,0,7,7
2015-06-06,736,0,2,0
2015-06-07,1201,0,0,16
2015-06-08,1392,0,2,14
2015-06-09,647,1,16,26
2015-06-10,1394,3,16,69
2015-06-11,1241,0,14,7
2015-06-12,759,0,6,16
2015-06-13,1779,0,0,22
2015-06-14,1077,0,0,0
2015-06-15,1072,2,4,67
2015-06-16,1308,1,6,15
2015-06-17,1238,1,2,19
2015-06-18,1374,1,10,15
2015-06-19,1426,3,8,12
2015-06-20,1150,0,0,5
2015-06-21,1398,0,0,0
2015-06-22,2149,1,14,10
2015-06-23,1135,2,12,16
2015-06-24,1488,3,4,27
2015-06-25,1045,1,3,3
2015-06-26,1175,1,14,12
2015-06-27,1870,0,0,2
2015-06-28,1140,0,0,25
2015-06-29,1260,0,4,3
2015-06-30,1354,0,15,26
2015-07-01,697,0,6,15
2015-07-02,589,1,5,10
2015-07-03,444,0,0,75
2015-07-04,1282,0,0,7
2015-07-05,1453,1,0,5
2015-07-06,2082,0,16,35
2015-07-07,1121,1,18,3
2015-07-08,1296,4,16,20
2015-07-09,800,0,6,36
2015-07-10,1409,1,0,18
2015-07-11,1945,0,0,0
2015-07-12,1820,0,1,0
2015-07-13,2299,2,7,2
2015-07-14,1304,2,11,86
2015-07-15,1030,0,14,48
2015-07-16,1020,1,2,170
2015-07-17,927,0,5,0
2015-07-18,2219,0,0,4
2015-07-19,1813,1,0,2
2015-07-20,751,1,4,22
2015-07-21,623,0,2,11
2015-07-22,638,1,1,6
2015-07-23,863,1,11,23
2015-07-24,840,0,7,4
2015-07-25,609,0,2,1
2015-07-26,551,0,0,10
2015-07-27,589,1,12,1
2015-07-28,757,0,3,0
2015-07-29,882,1,10,10
2015-07-30,832,3,15,3
2015-07-31,635,1,7,0
2015-08-01,1183,0,1,18
2015-08-02,818,0,0,0
2015-08-03,773,0,6,19
2015-08-04,1062,0,7,33
2015-08-05,857,5,15,3
2015-08-06,1038,3,10,1
2015-08-07,766,0,7,1
2015-08-08,561,0,3,10
2015-08-09,873,0,0,0
2015-08-10,1289,4,16,0
2015-08-11,840,0,19,13
2015-08-12,924,2,3,21
2015-08-13,678,0,4,9
2015-08-14,547,1,6,55
2015-08-15,778,0,0,40
2015-08-16,706,0,0,132
2015-08-17,731,0,10,3
2015-08-18,499,2,18,41
2015-08-19,951,2,11,19
2015-08-20,765,3,3,30
2015-08-21,696,0,3,0
2015-08-22,903,0,1,15
2015-08-23,950,0,0,14
2015-08-24,625,1,0,44
2015-08-25,696,0,1,8
2015-08-26,965,1,3,12
2015-08-27,803,3,5,16
2015-08-28,1179,0,14,4
2015-08-29,802,0,0,5
2015-08-30,964,0,0,3
2015-08-31,713,1,14,41
2015-09-01,590,5,10,14
2015-09-02,851,0,5,6
2015-09-03,714,0,8,26
2015-09-04,976,0,8,6
2015-09-05,802,0,0,7
2015-09-06,859,0,0,9
2015-09-07,996,0,0,3
2015-09-08,985,2,5,7
2015-09-09,713,2,16,54
2015-09-10,643,1,7,1
2015-09-11,660,5,14,19
2015-09-12,539,1,0,2
2015-09-13,654,0,0,0
2015-09-14,528,1,8,13
2015-09-15,705,0,8,10
2015-09-16,637,1,12,13
2015-09-17,990,3,0,7
2015-09-18,1192,1,1,110
2015-09-19,352,0,1,0
2015-09-20,544,0,0,27
2015-09-21,1222,0,8,14
2015-09-22,1335,0,0,25
2015-09-23,820,3,0,0
2015-09-24,1039,2,7,30
2015-09-25,838,1,14,17
2015-09-26,697,0,0,0
2015-09-27,581,0,0,0
2015-09-28,1052,3,10,30
2015-09-29,750,2,7,14
2015-09-30,1365,1,12,0
2015-10-01,640,1,14,35
2015-10-02,586,0,6,8
2015-10-03,595,0,6,24
2015-10-04,659,0,1,19
2015-10-05,565,0,6,18
2015-10-06,562,4,8,30
2015-10-07,1179,1,1,0
2015-10-08,661,4,2,4
2015-10-09,752,2,2,47
2015-10-10,1017,0,0,0
2015-10-11,833,0,1,4
2015-10-12,1415,1,2,16
2015-10-13,433,5,0,3
2015-10-14,531,0,8,110
2015-10-15,681,2,4,20
2015-10-16,1354,1,8,20
2015-10-17,749,1,1,0
2015-10-18,616,0,0,23
2015-10-19,1336,1,2,18
2015-10-20,806,0,3,0
2015-10-21,854,0,2,136
2015-10-22,614,1,4,0
2015-10-23,746,0,11,71
